IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP24;IP_PROP14;IP_PROP18;IP_PROP19;IP_PROP15;IP_PROP16;IP_PROP35;IP_PROP17;IP_PROP28;IP_PROP25;IP_PROP29;IP_PROP23;IP_PROP32;IP_PROP31;IP_PROP30;IP_PROP45;IP_PROP46;IP_PROP33;IP_PROP34;IC_GROUP0;IC_GROUP1;IC_GROUP2
1435;Кольцо из красного золота;1830;Y;;;/upload/iblock/200/2008d0704179b60d18a3882966aa8cf9.jpg;;text;/upload/iblock/92f/92fdedae0bdc6280ab38e9afb1c3601f.jpg;;text;koltso_iz_krasnogo_zolota;500;;0110736;;;;Кольца;Красное золото;;585;;;;;;;;;;;;Ювелирные изделия;Кольца;Религиозные
1436;Жесткий браслет из желтого и белого золота;1831;Y;;;/upload/iblock/990/990427c7b6236c3ec7c59bc4cc08da55.jpg;;text;/upload/iblock/893/8937fce27e4f80ec3268b422e557925a.jpg;;text;zhestkiy_braslet_iz_zheltogo_i_belogo_zolota;500;;000017;;;да;Браслеты;Желтое золото;;585;;;;;;;;;;;;Ювелирные изделия;Браслеты;Жесткие браслеты
1436;Жесткий браслет из желтого и белого золота;1831;Y;;;/upload/iblock/990/990427c7b6236c3ec7c59bc4cc08da55.jpg;;text;/upload/iblock/893/8937fce27e4f80ec3268b422e557925a.jpg;;text;zhestkiy_braslet_iz_zheltogo_i_belogo_zolota;500;;000017;;;да;Браслеты;Белое золото;;585;;;;;;;;;;;;Ювелирные изделия;Браслеты;Жесткие браслеты
1451;Кольцо из золота с эмалью с фианитом;1832;Y;;;/upload/iblock/a2c/a2c4afe092589f58fda38be02396ffbb.jpg;;text;/upload/iblock/157/15721c77db3b1f02662ad1266724a890.jpg;;text;koltso_iz_zolota_s_emalyu_s_fianitom;500;;017004;;;;Кольца;Красное золото;;925;;;;;;;;;;;;Ювелирные изделия;Кольца;Религиозные
1452;Слейв-браслет из желтого золота с гранатами;1833;Y;;;/upload/iblock/2e6/2e6fd09eacf820bf54a6dbb6cd73e96b.jpg;;text;/upload/iblock/a8f/a8f1867c0808ba9cb011aa1ffed14a2b.jpg;;text;sleyv_braslet_iz_zheltogo_zolota_s_granatami;500;;000017;;;;Браслеты;Желтое золото;;585;;;;;;;;;;;;Ювелирные изделия;Браслеты;Слейв-браслеты
1456;Кольцо из серебра с эмалью с фианитом;1834;Y;;;/upload/iblock/a69/a69bf607b29b7502ad7f30d5a2ccfb47.jpg;;text;/upload/iblock/c89/c8912c93b3a63c5f3dffa8fbd665706f.jpg;;text;koltso_iz_serebra_s_emalyu_s_fianitom;500;;94011842;;;;Кольца;Серебро;;925;;;;;;;;;;;;Ювелирные изделия;Кольца;Религиозные
1466;Кольцо православное из красного золота;1835;Y;;;/upload/iblock/489/489eb6f0844596d536e104cb4c9e068f.jpg;;text;/upload/iblock/05a/05adbd00406ea9b6d89fd56f06f8d33b.jpg;;text;koltso_pravoslavnoe_iz_krasnogo_zolota;500;;119826;;да;;Кольца;Красное золото;;585;;;;;;;;;;;;Ювелирные изделия;Кольца;Религиозные
1467;Слейв браслет из белого и желтого золота с янтaрём и керамикой;1836;Y;;;;;text;/upload/iblock/d5e/d5e9f036f2c47c2e7f4375869e9cdf3b.png;;text;sleyv_braslet_iz_belogo_i_zheltogo_zolota_s_yantoryem_i_keramikoy;500;;000018;да;;;Браслеты;Желтое золото;3.3500;585;;;;/upload/iblock/88a/88ad2d029e1474a38ed1b9a431536433.png;;;;;;2.0000;9.0000;Ювелирные изделия;Браслеты;Слейв-браслеты
1467;Слейв браслет из белого и желтого золота с янтaрём и керамикой;1836;Y;;;;;text;/upload/iblock/d5e/d5e9f036f2c47c2e7f4375869e9cdf3b.png;;text;sleyv_braslet_iz_belogo_i_zheltogo_zolota_s_yantoryem_i_keramikoy;500;;000018;да;;;Браслеты;Белое золото;3.3500;585;;;;/upload/iblock/88a/88ad2d029e1474a38ed1b9a431536433.png;;;;;;2.0000;9.0000;Ювелирные изделия;Браслеты;Слейв-браслеты
1478;Кольцо из серебра;1837;Y;;;/upload/iblock/17f/17ff95a7eb7cd44f731debffe42fae62.jpg;;text;/upload/iblock/06c/06c6e80d5b3c3a4cf684993afad32e78.jpg;;text;koltso_iz_serebra;500;;1234;;;;Кольца;Серебро;;925;;;;;;;;;;;;Ювелирные изделия;Кольца;Религиозные
1479;Слейв браслет из белого золота с топазами;1838;Y;;;/upload/iblock/406/406da8aeb7e673d9db38df484359b9cf.jpg;;text;/upload/iblock/f99/f999aae46ef41abbd50ad89cc9e8e9c0.jpg;;text;sleyv_braslet_iz_belogo_zolota_s_topazami;500;;000019;;;;Браслеты;Белое золото;3.2000;585;;;;;;;;;;1.0000;4.0000;Ювелирные изделия;Браслеты;Слейв-браслеты
1504;Кольцо из золочёного серебра с эмалью с фианитами;1839;Y;;;/upload/iblock/253/253749e0e16702568eed4dc9cc35a9ae.jpg;;text;/upload/iblock/3ff/3ff22fbc59f57e854ada826fdcf27468.jpg;;text;koltso_iz_zolochyenogo_serebra_s_emalyu_s_fianitami;500;;93010479;;да;;Кольца;Золоченое серебро;;925;;;;;;;;;;;;Ювелирные изделия;Кольца;Тематические
1527;Кольцо с крылышками украшенными эмалью;1840;Y;;;/upload/iblock/ba3/ba3bfcdb421de1e01a539a9f4cd4773d.jpg;;text;/upload/iblock/e8f/e8fb8ed81b14abd3678358b3cb6b028c.jpg;;text;koltso_s_krylyshkami_ukrashennymi_emalyu;500;;94011438;;;;Кольца;Серебро;;925;;;;;;;;;;;;Ювелирные изделия;Кольца;Тематические
1545;Кольцо из золота с миксом камней;1841;Y;;;/upload/iblock/4f6/4f6e244bf83fd5c9a6190ce07812e41a.jpg;;text;/upload/iblock/13a/13aac2cb4f8d1df9056880e09c2b2bc9.jpg;;text;koltso_iz_zolota_s_miksom_kamney;500;;712391;;;;Кольца;Красное золото;;585;;;;;;;;;;;;Ювелирные изделия;Кольца;Тематические
1558;Кольцо из золота с бриллиантами и рубинами;1842;Y;;;/upload/iblock/16f/16f2f6a8b8003e29020cd9034fc0dacc.jpg;;text;/upload/iblock/01f/01fe26f1377c14b8047883312356353f.jpg;;text;koltso_iz_zolota_s_brilliantami_i_rubinami;500;;4010527;да;да;да;Кольца;Красное золото;3.3500;585;;;;;;;;;;2.0000;9.0000;Ювелирные изделия;Кольца;Тематические
1559;Браслет детский из серебра с эмалью;1843;Y;;;/upload/iblock/674/6745329c9bcac586b23cdf87b7664d43.png;;text;/upload/iblock/dcf/dcf8a34dce2f71bddda2f1da6831b422.png;;text;braslet_detskiy_iz_serebra_s_emalyu;500;;000020;;;;Браслеты;Серебро;;875;;;;;;;;;;;;Ювелирные изделия;Для детей;Браслеты
1566;Браслет детский из розового золота с фианитами;1844;Y;;;/upload/iblock/f61/f61a042715c3a5c09ddea17a114074f4.jpg;;text;/upload/iblock/399/3999e0d28016525c2d880761bef3da41.jpg;;text;braslet_detskiy_iz_rozovogo_zolota_s_fianitami;500;;000021;;;;Браслеты;Розовое золото;;585;;;;;;;;;;;;Ювелирные изделия;Для детей;Браслеты
1581;Кольцо из белого золота с бриллиантами и рубинами;1845;Y;;;;;text;/upload/iblock/5d4/5d441be4dffd726727dd23777e5b43da.jpg;Аристократическая холодность и жгучая страстность – эти две противоположные стихии умело соединены в кольцах из белого золота с рубином. На фоне чистейшего в своей белизне металла яркий камень насыщенного оттенка спелой малины создает глубокий контраст, который символизирует противоречивые эмоции, так свойственные всем представительницам прекрасного пола. Оригинальные дизайнерские решения вкупе с эксцентричной цветовой гаммой – подарок из такого раздела не сможет никого оставить равнодушным и передаст всю гамму Ваших чувств без слов.;text;koltso_iz_belogo_zolota_s_brilliantami_i_rubinami;500;;110059;да;да;да;Кольца;Белое золото;3.2000;585;;;;/upload/iblock/71d/71d0078d2d611c41d1b81d7c54bc6176.jpg;;;;;;6.0000;20.0000;Ювелирные изделия;Кольца;Тематические
1581;Кольцо из белого золота с бриллиантами и рубинами;1845;Y;;;;;text;/upload/iblock/5d4/5d441be4dffd726727dd23777e5b43da.jpg;Аристократическая холодность и жгучая страстность – эти две противоположные стихии умело соединены в кольцах из белого золота с рубином. На фоне чистейшего в своей белизне металла яркий камень насыщенного оттенка спелой малины создает глубокий контраст, который символизирует противоречивые эмоции, так свойственные всем представительницам прекрасного пола. Оригинальные дизайнерские решения вкупе с эксцентричной цветовой гаммой – подарок из такого раздела не сможет никого оставить равнодушным и передаст всю гамму Ваших чувств без слов.;text;koltso_iz_belogo_zolota_s_brilliantami_i_rubinami;500;;110059;да;да;да;Кольца;Белое золото;3.2000;585;;;;/upload/iblock/9c0/9c01d234cf81dd8883622e4a8113119d.jpg;;;;;;6.0000;20.0000;Ювелирные изделия;Кольца;Тематические
1581;Кольцо из белого золота с бриллиантами и рубинами;1845;Y;;;;;text;/upload/iblock/5d4/5d441be4dffd726727dd23777e5b43da.jpg;Аристократическая холодность и жгучая страстность – эти две противоположные стихии умело соединены в кольцах из белого золота с рубином. На фоне чистейшего в своей белизне металла яркий камень насыщенного оттенка спелой малины создает глубокий контраст, который символизирует противоречивые эмоции, так свойственные всем представительницам прекрасного пола. Оригинальные дизайнерские решения вкупе с эксцентричной цветовой гаммой – подарок из такого раздела не сможет никого оставить равнодушным и передаст всю гамму Ваших чувств без слов.;text;koltso_iz_belogo_zolota_s_brilliantami_i_rubinami;500;;110059;да;да;да;Кольца;Белое золото;3.2000;585;;;;/upload/iblock/fc5/fc5471a81e2b3410d3f45445bd1b8876.jpg;;;;;;6.0000;20.0000;Ювелирные изделия;Кольца;Тематические
1582;Браслет детский из серебра с фианитами;1846;Y;;;/upload/iblock/e57/e573c91db287d9b9f841c9af04fdf145.jpg;;text;/upload/iblock/578/5786bbe500384b8b945597bfa3358f6d.jpg;;text;braslet_detskiy_iz_serebra_s_fianitami;500;;000024;;;;Браслеты;Серебро;;875;;;;;;;;;;;;Ювелирные изделия;Для детей;Браслеты
1591;Браслет детский из белого и желтого золота;1847;Y;;;/upload/iblock/5b9/5b959ba35c685ba885f37b0cbe8f30dd.jpg;;text;/upload/iblock/501/501ceab37757ca58a290286c6ddee2db.jpg;;text;braslet_detskiy_iz_belogo_i_zheltogo_zolota;500;;000022;;;;Браслеты;Желтое золото;;585;;;;;;;;;;;;Ювелирные изделия;Для детей;Браслеты
1591;Браслет детский из белого и желтого золота;1847;Y;;;/upload/iblock/5b9/5b959ba35c685ba885f37b0cbe8f30dd.jpg;;text;/upload/iblock/501/501ceab37757ca58a290286c6ddee2db.jpg;;text;braslet_detskiy_iz_belogo_i_zheltogo_zolota;500;;000022;;;;Браслеты;Белое золото;;585;;;;;;;;;;;;Ювелирные изделия;Для детей;Браслеты
1603;Браслет из белого золота с бриллиантами и сапфирами;1848;Y;;;/upload/iblock/a44/a4463c7a2301100e037f3435800e98bc.jpg;;text;/upload/iblock/ff2/ff2b21792f6301cd2bea02ab2b279976.jpg;;text;braslet_iz_belogo_zolota_s_brilliantami_i_sapfirami;500;;150836;;;;Браслеты;Белое золото;;585;;;;;;;;;;;;Ювелирные изделия;Для мужчин;Браслеты
1607;Мужской браслет из серебра с рифлеными звеньями;1849;Y;;;/upload/iblock/068/068cb4c5590d09f425f53aaec05788f9.jpg;;text;/upload/iblock/b8b/b8bdad1fc7de5869ebdfba86955b4f02.jpg;;text;muzhskoy_braslet_iz_serebra_s_riflenymi_zvenyami;500;;4567124;;;;Браслеты;Серебро;;875;;;;;;;;;;;;Ювелирные изделия;Для мужчин;Браслеты
